Gene	SUN.A.6.7.1.D2	SUN.A.6.8.1.D3	SUN.A.6.9.1.D4	SUN.A.7.13.1.F3	SUN.A.7.14.1.F4	Min	Max	Median	Mean	Std
UBE2Q2P1	22	15	15	14	20	14	22	15	17.2	3.56370593624109
UBE2Q2P2	3	0	0	0	0	0	3	0	0.6	1.34164078649987
UBE2Q2P3	3	1	2	3	6	1	6	3	3	1.87082869338697
UBE2QL1	2	2	1	0	0	0	2	1	1	1
UBE2R2	85	54	61	65	63	54	85	63	65.6	11.61034021896
UBE2S	9	6	3	4	4	3	9	4	5.2	2.38746727726266
UBE2T	11	15	11	12	11	11	15	11	12	1.73205080756888
UBE2U	0	0	0	0	0	0	0	0	0	0
UBE2V1	22	16	29	14	17	14	29	17	19.6	6.02494813255683
UBE2V2	537	349	364	345	382	345	537	364	395.4	80.481674932869
UBE2W	151	102	101	124	123	101	151	123	120.2	20.4377102435669
UBE2Z	52	45	54	45	49	45	54	49	49	4.06201920231798
UBE3A	53	48	39	38	31	31	53	39	41.8	8.70057469366248
UBE3B	22	13	24	15	9	9	24	15	16.6	6.26897120746299
UBE3C	46	35	24	33	33	24	46	33	34.2	7.85493475466219
UBE3D	8	5	7	12	6	5	12	7	7.6	2.70185121722126
UBE4A	70	53	60	40	39	39	70	53	52.4	13.2400906341309
UBE4B	40	22	21	22	21	21	40	22	25.2	8.28854631404084
UBFD1	48	28	41	43	34	28	48	41	38.8	7.85493475466219
UBIAD1	35	19	28	30	25	19	35	28	27.4	5.94138031100518
UBL3	48	30	25	26	25	25	48	26	30.8	9.83361581515162
UBL4A	29	16	19	18	15	15	29	18	19.4	5.59464029227975
UBL5	1158	796	882	663	776	663	1158	796	855	186.496648763456
UBL7	15	19	14	15	20	14	20	15	16.6	2.70185121722126
UBL7-AS1	5	11	4	2	17	2	17	5	7.8	6.1400325732035
UBLCP1	81	65	52	43	53	43	81	53	58.8	14.6696966567138
UBN1	32	15	30	23	29	15	32	29	25.8	6.9065186599328
UBN2	26	15	27	23	14	14	27	23	21	6.12372435695795
UBOX5	4	7	11	8	8	4	11	8	7.6	2.50998007960223
UBOX5-AS1	0	0	0	0	0	0	0	0	0	0
UBP1	23	15	14	17	13	13	23	15	16.4	3.97492138287036
UBQLN1	28	21	24	13	22	13	28	22	21.6	5.50454357780915
UBQLN2	18	18	18	5	17	5	18	18	15.2	5.71839138219832
UBQLN4	5	9	7	13	3	3	13	7	7.4	3.84707681233427
UBQLNL	0	1	0	0	1	0	1	0	0.4	0.547722557505166
UBR1	29	17	33	22	28	17	33	28	25.8	6.30079360080935
UBR2	46	26	40	43	30	26	46	40	37	8.60232526704263
UBR3	14	16	12	14	11	11	16	14	13.4	1.94935886896179
UBR4	50	42	38	45	38	38	50	42	42.6	5.07937003968012
UBR5	40	43	22	40	32	22	43	40	35.4	8.53229160308062
UBR7	20	13	7	9	4	4	20	9	10.6	6.18869937870632
UBTD1	6	6	10	9	5	5	10	6	7.2	2.16794833886788
UBTD2	27	14	11	12	9	9	27	12	14.6	7.16240183178799
UBTF	18	21	26	18	16	16	26	18	19.8	3.89871773792359
UBXN1	69	41	46	40	51	40	69	46	49.4	11.8025420990565
UBXN10	0	0	0	0	0	0	0	0	0	0
UBXN11	1	1	1	1	3	1	3	1	1.4	0.894427190999916
UBXN2A	23	14	10	16	18	10	23	16	16.2	4.81663783151692
UBXN2B	24	16	25	21	20	16	25	21	21.2	3.56370593624109
UBXN4	234	198	212	158	169	158	234	198	194.2	31.0676680811418
UBXN6	27	22	29	19	15	15	29	22	22.4	5.72712842531054
UBXN7	24	15	16	9	17	9	24	16	16.2	5.35723809439155
UBXN8	39	18	24	23	27	18	39	24	26.2	7.85493475466219
UCA1	0	0	0	0	0	0	0	0	0	0
UCHL1	648	403	521	346	317	317	648	403	447	136.852109958159
UCHL1-AS1	0	0	0	0	0	0	0	0	0	0
UCHL3	82	64	58	54	37	37	82	58	59	16.3095064303001
UCHL5	39	25	28	22	33	22	39	28	29.4	6.73052746818554
UCK1	5	5	4	3	4	3	5	4	4.2	0.836660026534076
UCK2	43	38	25	33	32	25	43	33	34.2	6.76017751246223
UCKL1	15	12	13	13	9	9	15	13	12.4	2.19089023002066
UCKL1-AS1	10	2	4	6	8	2	10	6	6	3.16227766016838
UCMA	0	0	0	0	0	0	0	0	0	0
UCN	0	0	0	0	0	0	0	0	0	0
UCN2	0	0	0	0	0	0	0	0	0	0
UCP1	0	0	0	0	0	0	0	0	0	0
UCP2	2	2	2	1	2	1	2	2	1.8	0.447213595499958
UCP3	0	0	0	0	0	0	0	0	0	0
UEVLD	13	3	15	8	10	3	15	10	9.8	4.65832587954085
UFC1	540	348	366	312	316	312	540	348	376.4	94.1743064747493
UFD1L	173	113	125	113	89	89	173	113	122.6	31.0612298533075
UFL1	103	63	72	62	50	50	103	63	70	20.0374649095139
UFM1	392	307	315	256	231	231	392	307	300.2	62.1184352668352
UFSP1	1	1	0	0	0	0	1	0	0.4	0.547722557505166
UFSP2	105	60	61	50	50	50	105	60	65.2	22.8626332691578
UG0898H09	0	1	1	0	0	0	1	0	0.4	0.547722557505166
UGCG	14	7	6	8	9	6	14	8	8.8	3.11448230047949
UGDH	115	95	86	50	53	50	115	86	79.8	27.9051966486531
UGDH-AS1	58	51	44	39	43	39	58	44	47	7.51664818918645
UGGT1	106	75	99	68	92	68	106	92	88	16.0468065358812
UGGT2	113	83	75	65	83	65	113	83	83.8	17.9220534537759
UGP2	276	172	168	205	198	168	276	198	203.8	43.418889898292
UGT2A1	0	0	0	0	0	0	0	0	0	0
UGT2A3	0	0	0	0	0	0	0	0	0	0
UGT2B15	1	1	2	1	2	1	2	1	1.4	0.547722557505166
UGT2B7	0	0	0	0	0	0	0	0	0	0
UGT3A2	0	0	0	0	0	0	0	0	0	0
UGT8	0	0	1	0	1	0	1	0	0.4	0.547722557505166
UHMK1	68	35	57	45	51	35	68	51	51.2	12.4177292610203
UHRF1	4	1	4	2	2	1	4	2	2.6	1.34164078649987
UHRF1BP1	9	10	7	11	14	7	14	10	10.2	2.58843582110896
UHRF1BP1L	30	17	25	13	15	13	30	17	20	7.21110255092798
UHRF2	15	17	12	12	11	11	17	12	13.4	2.50998007960223
UIMC1	28	22	18	17	25	17	28	22	22	4.63680924774785
ULBP1	3	5	4	1	6	1	6	4	3.8	1.92353840616713
ULBP2	13	16	14	11	14	11	16	14	13.6	1.81659021245849
ULBP3	0	0	0	0	0	0	0	0	0	0
ULK1	4	3	6	10	5	3	10	5	5.6	2.70185121722126
ULK2	14	7	8	12	14	7	14	12	11	3.3166247903554
ULK3	5	5	5	3	2	2	5	5	4	1.4142135623731
ULK4	13	10	8	11	16	8	16	11	11.6	3.04959013639538
ULK4P3	0	0	0	0	0	0	0	0	0	0
UMPS	52	33	40	31	41	31	52	40	39.4	8.26438140455775
UNC119	13	9	7	4	10	4	13	9	8.6	3.36154726279432
UNC119B	25	10	14	11	14	10	25	14	14.8	5.97494769851586
UNC13A	1	1	0	0	1	0	1	1	0.6	0.547722557505166
UNC13B	8	2	4	7	7	2	8	7	5.6	2.50998007960223
UNC13D	0	0	0	0	0	0	0	0	0	0
UNC45A	13	7	10	8	5	5	13	8	8.6	3.04959013639538
UNC50	57	38	36	35	21	21	57	36	37.4	12.8569047597001
UNC5B	79	56	71	76	71	56	79	71	70.6	8.84872872225158
UNC5B-AS1	31	18	28	15	9	9	31	18	20.2	9.14877040918614
UNC5C	1	0	1	0	1	0	1	1	0.6	0.547722557505166
UNC5CL	0	0	0	0	0	0	0	0	0	0
UNC79	0	0	0	0	0	0	0	0	0	0
UNC80	0	0	0	0	0	0	0	0	0	0
UNC93B1	10	6	4	11	8	4	11	8	7.8	2.86356421265527
UNG	9	6	2	16	11	2	16	9	8.8	5.26307894677631
UNK	10	2	7	2	5	2	10	5	5.2	3.42052627529741
UNKL	9	10	3	2	5	2	10	5	5.8	3.56370593624109
UNQ6975	0	0	0	0	0	0	0	0	0	0
UOX	0	0	0	0	0	0	0	0	0	0
UPF1	21	6	4	14	12	4	21	12	11.4	6.76756972627545
UPF2	101	94	94	75	67	67	101	94	86.2	14.4464528518249
UPF3A	96	84	60	67	74	60	96	74	76.2	14.1844985811977
UPF3B	23	12	11	10	12	10	23	12	13.6	5.31977443130815
UPK1A	1	2	4	1	1	1	4	1	1.8	1.30384048104053
UPK1A-AS1	2	1	0	1	0	0	2	1	0.8	0.836660026534076
UPK1B	5	5	8	4	4	4	8	5	5.2	1.6431676725155
UPK2	0	0	0	0	0	0	0	0	0	0
UPK3B	0	0	0	0	0	0	0	0	0	0
UPK3BL	1	1	3	2	2	1	3	2	1.8	0.836660026534076
UPP1	30	24	38	29	21	21	38	29	28.4	6.50384501660364
UPP2	0	0	0	0	0	0	0	0	0	0
UPRT	23	13	14	15	21	13	23	15	17.2	4.49444101084885
UQCC	22	9	9	11	16	9	22	11	13.4	5.59464029227975
UQCR10	1162	804	816	802	807	802	1162	807	878.2	158.739409095536
UQCR11	584	342	423	388	365	342	584	388	420.4	96.2252565598035
UQCRB	1690	1257	1323	1198	1209	1198	1690	1257	1335.4	204.26526870714
UQCRBP1	1	0	0	0	0	0	1	0	0.2	0.447213595499958
UQCRC1	65	82	75	46	61	46	82	65	65.8	13.8094170767632
UQCRC2	295	193	199	195	193	193	295	195	215	44.7883913531174
UQCRFS1	103	55	62	63	58	55	103	62	68.2	19.715476154534
UQCRH	724	544	565	439	494	439	724	544	553.2	107.171358114004
UQCRHL	3	0	3	0	2	0	3	2	1.6	1.51657508881031
UQCRQ	2162	1490	1563	1403	1417	1403	2162	1490	1607	316.767264722856
URB1	17	8	8	9	7	7	17	8	9.8	4.08656334834051
URB2	7	5	5	7	4	4	7	5	5.6	1.34164078649987
URGCP	10	8	9	12	10	8	12	10	9.8	1.48323969741913
URI1	42	33	26	24	18	18	42	26	28.6	9.20869154657707
URM1	17	14	19	14	11	11	19	14	15	3.08220700148449
UROD	289	212	199	192	184	184	289	199	215.2	42.5170554013328
UROS	27	18	23	19	10	10	27	19	19.4	6.34822809924155
USB1	31	12	20	19	14	12	31	19	19.2	7.39594483484024
USE1	50	26	33	28	35	26	50	33	34.4	9.44986772394196
USF1	32	14	30	9	15	9	32	15	20	10.3198837202751
USF2	6	7	10	3	4	3	10	6	6	2.73861278752583
USH2A	0	0	2	0	0	0	2	0	0.4	0.894427190999916
USMG5	1313	947	981	923	938	923	1313	947	1020.4	164.947870553093
USO1	144	119	101	98	109	98	144	109	114.2	18.5391477689779
USP1	35	22	33	22	20	20	35	22	26.4	7.02139587261678
USP10	45	28	28	22	26	22	45	28	29.8	8.84307638777366
USP11	25	21	22	19	18	18	25	21	21	2.73861278752583
USP12	10	14	15	8	7	7	15	10	10.8	3.56370593624109
USP13	7	7	15	8	11	7	15	8	9.6	3.43511280746353
USP14	38	35	50	23	23	23	50	35	33.8	11.3446022407134
USP15	135	92	98	92	75	75	135	92	98.4	22.1878345045207
USP16	139	92	98	76	96	76	139	96	100.2	23.349518196314
USP17L2	0	0	0	0	0	0	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0	0	0
USP18	0	1	4	1	0	0	4	1	1.2	1.6431676725155
USP19	4	5	1	1	3	1	5	3	2.8	1.78885438199983
USP2	0	0	0	0	0	0	0	0	0	0
USP2-AS1	0	0	0	0	0	0	0	0	0	0
USP20	3	1	2	1	3	1	3	2	2	1
USP21	8	2	3	5	1	1	8	3	3.8	2.77488738510232
USP22	142	97	101	91	73	73	142	97	100.8	25.4007873893704
USP24	10	7	10	15	15	7	15	10	11.4	3.50713558335004
USP25	21	11	7	18	11	7	21	11	13.6	5.72712842531054
USP27X	1	0	0	1	1	0	1	1	0.6	0.547722557505166
USP27X-AS1	0	0	0	0	0	0	0	0	0	0
USP28	6	4	11	4	10	4	11	6	7	3.3166247903554
USP29	1	0	0	1	2	0	2	1	0.8	0.836660026534076
USP3	43	27	36	26	20	20	43	27	30.4	9.07193474403338
USP3-AS1	1	2	0	1	0	0	2	1	0.8	0.836660026534076
USP30	6	3	2	4	6	2	6	4	4.2	1.78885438199983
USP30-AS1	0	0	0	0	0	0	0	0	0	0
USP31	7	9	10	3	1	1	10	7	6	3.87298334620742
USP32	11	6	3	2	6	2	11	6	5.6	3.50713558335004
USP32P1	1	1	2	0	2	0	2	1	1.2	0.836660026534076
USP32P2	0	0	1	0	1	0	1	0	0.4	0.547722557505166
USP33	71	58	58	46	65	46	71	58	59.6	9.34344690143846
USP34	84	55	75	66	60	55	84	66	68	11.6404467268228
USP35	4	0	0	0	1	0	4	0	1	1.73205080756888
USP36	11	4	6	2	4	2	11	4	5.4	3.43511280746353
USP37	18	11	14	11	5	5	18	11	11.8	4.76445169982864
USP38	13	11	10	9	6	6	13	10	9.8	2.58843582110896
USP39	40	26	38	31	33	26	40	33	33.6	5.59464029227975
USP4	50	39	29	36	32	29	50	36	37.2	8.10555365166378
USP40	28	24	24	18	15	15	28	24	21.8	5.21536192416212
USP42	5	7	6	2	4	2	7	5	4.8	1.92353840616713
USP44	1	1	0	2	2	0	2	1	1.2	0.836660026534076
USP45	13	4	8	8	7	4	13	8	8	3.24037034920393
USP46	20	15	8	17	20	8	20	17	16	4.94974746830583
USP47	71	58	70	72	61	58	72	70	66.4	6.42650760522385
USP48	31	18	38	29	25	18	38	29	28.2	7.39594483484024
USP49	5	1	0	1	0	0	5	1	1.4	2.07364413533277
USP5	7	4	2	6	8	2	8	6	5.4	2.40831891575846
USP50	0	0	0	0	0	0	0	0	0	0
USP51	0	0	1	0	0	0	1	0	0.2	0.447213595499958
USP53	59	53	48	42	49	42	59	49	50.2	6.30079360080935
USP54	24	15	18	17	11	11	24	17	17	4.74341649025257
USP6	0	0	0	0	0	0	0	0	0	0
USP6NL	4	3	3	1	1	1	4	3	2.4	1.34164078649987
USP7	56	38	53	36	40	36	56	40	44.6	9.20869154657707
USP8	184	131	145	99	110	99	184	131	133.8	33.282127335854
USP9X	93	70	80	71	62	62	93	71	75.2	11.8194754536739
USP9Y	15	7	12	11	9	7	15	11	10.8	3.03315017762062
USPL1	18	20	22	14	17	14	22	18	18.2	3.03315017762062
UST	25	11	18	11	14	11	25	14	15.8	5.89067059000926
UTP11L	191	157	169	141	146	141	191	157	160.8	20.0299775336868
UTP14A	53	38	21	30	28	21	53	30	34	12.2270192606375
UTP14C	33	28	24	23	36	23	36	28	28.8	5.6302753041037
UTP15	20	8	14	13	15	8	20	14	14	4.30116263352131
UTP18	18	14	11	12	7	7	18	12	12.4	4.03732584763727
UTP20	16	15	11	8	19	8	19	15	13.8	4.32434966208793
UTP23	73	40	40	47	53	40	73	47	50.6	13.6491757992928
UTP3	52	26	34	24	28	24	52	28	32.8	11.3666177907063
UTP6	84	69	51	55	84	51	84	69	68.6	15.5659885648166
UTRN	110	104	84	97	89	84	110	97	96.8	10.6160256216722
UTS2	0	0	1	0	0	0	1	0	0.2	0.447213595499958
UTS2B	8	2	2	2	2	2	8	2	3.2	2.68328157299975
UTY	5	2	4	3	7	2	7	4	4.2	1.92353840616713
UVRAG	15	12	5	9	11	5	15	11	10.4	3.71483512420134
UVSSA	10	8	7	6	8	6	10	8	7.8	1.48323969741913
UXS1	17	15	22	15	13	13	22	15	16.4	3.43511280746353
UXT	131	78	111	69	62	62	131	78	90.2	29.5414962383424
VAC14	4	2	3	1	4	1	4	3	2.8	1.30384048104053
VAC14-AS1	1	0	0	1	0	0	1	0	0.4	0.547722557505166
VAMP1	6	3	2	5	5	2	6	5	4.2	1.6431676725155
VAMP2	13	8	8	9	8	8	13	8	9.2	2.16794833886788
VAMP3	210	139	140	114	136	114	210	139	147.8	36.3620681480028
VAMP4	15	20	16	8	18	8	20	16	15.4	4.56070170039655
VAMP5	103	69	75	100	97	69	103	97	88.8	15.626899884494
VAMP7	67	48	45	52	41	41	67	48	50.6	10.0149887668434
VAMP8	5	3	5	8	2	2	8	5	4.6	2.30217288664427
VANGL1	9	7	11	8	6	6	11	8	8.2	1.92353840616713
VANGL2	0	0	0	1	0	0	1	0	0.2	0.447213595499958
VAPA	230	134	151	155	134	134	230	151	160.8	39.8584997208876
VAPB	28	18	26	27	22	18	28	26	24.2	4.14728827066554
VARS	8	5	3	7	3	3	8	5	5.2	2.28035085019828
VARS2	2	2	0	1	0	0	2	1	1	1
VASH1	7	7	7	4	7	4	7	7	6.4	1.34164078649987
VASH2	0	0	0	1	1	0	1	0	0.4	0.547722557505166
VASN	55	48	43	39	37	37	55	43	44.4	7.26636084983398
VASP	19	8	23	9	16	8	23	16	15	6.44204936336256
VAT1	73	47	47	45	53	45	73	47	53	11.5758369027902
VAT1L	0	0	0	0	0	0	0	0	0	0
VAV1	0	0	0	0	0	0	0	0	0	0
VAV2	4	2	4	1	5	1	5	4	3.2	1.6431676725155
VAV3	0	0	0	0	0	0	0	0	0	0
VAX2	0	0	0	0	0	0	0	0	0	0
VBP1	117	76	79	72	69	69	117	76	82.6	19.6035711032455
VCAM1	39	22	29	26	47	22	47	29	32.6	10.2127371453494
VCAN	1158	910	838	894	836	836	1158	894	927.2	133.173570951597
VCL	272	184	166	122	160	122	272	166	180.8	55.7602008604704
VCP	69	29	48	29	40	29	69	40	43	16.5981926726978
VCPIP1	21	17	17	12	15	12	21	17	16.4	3.286335345031
VCX3B	0	1	0	0	0	0	1	0	0.2	0.447213595499958
VDAC1	431	334	341	279	292	279	431	334	335.4	59.6598692589918
VDAC2	173	113	134	98	119	98	173	119	127.4	28.5709642819419
VDAC3	228	194	156	148	173	148	228	173	179.8	32.2055895769663
VDR	25	16	16	15	11	11	25	16	16.6	5.12835256198323
VEGFA	108	105	114	144	138	105	144	114	121.8	17.9499303619819
VEGFB	69	52	46	59	57	46	69	57	56.6	8.5615419172016
VEGFC	12	12	8	11	12	8	12	12	11	1.73205080756888
VENTX	6	2	2	3	4	2	6	3	3.4	1.67332005306815
VEPH1	333	216	239	256	217	216	333	239	252.2	48.1321098644138
VEZF1	22	20	21	14	19	14	22	20	19.2	3.11448230047949
VEZT	66	57	59	54	80	54	80	59	63.2	10.3778610512957
VGLL3	111	102	112	105	104	102	112	105	106.8	4.43846820423443
VGLL4	15	9	7	16	13	7	16	13	12	3.87298334620742
VHL	70	50	36	47	61	36	70	50	52.8	13.1034346642398
VILL	0	0	0	0	0	0	0	0	0	0
VIM	4178	3398	3517	5944	3802	3398	5944	3802	4167.8	1037.41659905749
VIMP	225	158	178	127	150	127	225	158	167.6	36.9228926277452
VIP	2	0	0	1	0	0	2	0	0.6	0.894427190999916
VIPAS39	32	19	19	18	31	18	32	19	23.8	7.04982269280583
VIPR1	0	0	0	0	0	0	0	0	0	0
VIPR2	6	0	6	10	5	0	10	6	5.4	3.57770876399966
VIT	13	9	20	12	8	8	20	12	12.4	4.72228758124704
VKORC1	286	143	182	170	165	143	286	170	189.2	55.9258437576046
VKORC1L1	10	11	16	6	10	6	16	10	10.6	3.57770876399966
VLDLR	33	18	22	17	19	17	33	19	21.8	6.53452370108182
VMA21	49	32	41	31	23	23	49	32	35.2	10.0099950049938
VMAC	1	2	1	0	0	0	2	1	0.8	0.836660026534076
VMO1	1	0	0	0	0	0	1	0	0.2	0.447213595499958
VMP1	226	158	166	182	217	158	226	182	189.8	30.3677460474102
VN1R1	2	1	1	0	1	0	2	1	1	0.707106781186548
VN1R2	3	0	1	1	1	0	3	1	1.2	1.09544511501033
VN1R5	0	0	0	0	1	0	1	0	0.2	0.447213595499958
VNN1	4	1	0	2	4	0	4	2	2.2	1.78885438199983
VNN2	0	2	0	1	0	0	2	0	0.6	0.894427190999916
VNN3	0	0	0	0	0	0	0	0	0	0
VOPP1	70	54	46	56	45	45	70	54	54.2	10.0598210719674
VPRBP	1	1	2	1	3	1	3	1	1.6	0.894427190999916
VPS11	36	31	34	30	29	29	36	31	32	2.91547594742265
VPS13A	41	35	37	33	37	33	41	37	36.6	2.96647939483827
VPS13B	43	30	26	33	32	26	43	32	32.8	6.30079360080935
VPS13C	140	90	103	87	96	87	140	96	103.2	21.4639232201385
VPS13D	21	9	9	16	17	9	21	16	14.4	5.27257053058563
VPS16	16	8	13	24	17	8	24	16	15.6	5.85662018573853
VPS18	6	4	5	7	3	3	7	5	5	1.58113883008419
VPS25	235	179	161	153	179	153	235	179	181.4	32.0437201335925
VPS26A	125	86	98	87	99	86	125	98	99	15.7321327225523
VPS26B	63	34	36	39	36	34	63	36	41.6	12.0954536913669
VPS28	347	249	238	227	244	227	347	244	261	48.7698677463862
VPS29	489	365	344	319	398	319	489	365	383	65.9583201726666
VPS33A	32	24	34	16	19	16	34	24	25	7.87400787401181
VPS33B	4	4	7	7	3	3	7	4	5	1.87082869338697
VPS35	210	161	166	144	193	144	210	166	174.8	26.3950752982446
VPS36	107	78	76	63	93	63	107	78	83.4	16.9499262535269
VPS37A	46	25	26	24	20	20	46	25	28.2	10.2078401241399
VPS37B	1	0	2	1	2	0	2	1	1.2	0.836660026534076
VPS37C	5	2	2	2	1	1	5	2	2.4	1.51657508881031
VPS37D	0	0	2	1	1	0	2	1	0.8	0.836660026534076
VPS39	102	46	74	61	71	46	102	71	70.8	20.583974348993
VPS41	140	93	107	95	104	93	140	104	107.8	18.9393769696894
VPS45	43	38	41	45	37	37	45	41	40.8	3.3466401061363
VPS4A	15	11	9	6	7	6	15	9	9.6	3.57770876399966
VPS4B	134	109	117	97	85	85	134	109	108.4	18.7563322640648
VPS51	19	11	15	6	9	6	19	11	12	5.09901951359278
VPS52	16	19	11	20	11	11	20	16	15.4	4.27784992724149
VPS53	55	26	57	46	41	26	57	46	45	12.4699639133399
VPS54	6	3	2	6	4	2	6	4	4.2	1.78885438199983
VPS72	22	14	12	6	13	6	22	13	13.4	5.72712842531054
VPS8	27	10	14	16	22	10	27	16	17.8	6.72309452558864
VPS9D1	1	1	2	1	2	1	2	1	1.4	0.547722557505166
VRK1	21	21	26	18	35	18	35	21	24.2	6.68580586017871
VRK2	8	9	8	9	5	5	9	8	7.8	1.6431676725155
VRK3	16	14	16	3	11	3	16	14	12	5.43139024560011
VRTN	0	0	0	0	0	0	0	0	0	0
VSIG1	14	11	8	15	18	8	18	14	13.2	3.83405790253616
VSIG10	14	9	13	10	5	5	14	10	10.2	3.56370593624109
VSIG10L	2	1	0	1	0	0	2	1	0.8	0.836660026534076
VSIG4	0	0	0	0	0	0	0	0	0	0
VSNL1	0	0	0	0	0	0	0	0	0	0
VSTM2L	0	0	0	0	0	0	0	0	0	0
VSTM4	18	11	19	21	14	11	21	18	16.6	4.03732584763727
VSX1	0	0	0	0	0	0	0	0	0	0
VTA1	186	135	120	115	146	115	186	135	140.4	28.2895740512295
VTCN1	0	0	0	0	1	0	1	0	0.2	0.447213595499958
VTI1A	29	15	21	23	22	15	29	22	22	5
VTI1B	65	36	57	42	35	35	65	42	47	13.3603892158874
VTN	6	2	1	2	0	0	6	2	2.2	2.28035085019828
VWA1	2	1	2	2	2	1	2	2	1.8	0.447213595499958
VWA2	0	1	1	2	0	0	2	1	0.8	0.836660026534076
VWA3A	1	0	0	0	0	0	1	0	0.2	0.447213595499958
VWA3B	0	0	0	0	0	0	0	0	0	0
VWA5A	14	10	7	19	19	7	19	14	13.8	5.35723809439155
VWA8	6	4	7	2	7	2	7	6	5.2	2.16794833886788
VWA8-AS1	0	0	0	0	0	0	0	0	0	0
VWA9	58	41	28	31	29	28	58	31	37.4	12.6214103807776
VWCE	1	0	0	0	0	0	1	0	0.2	0.447213595499958
VWDE	0	0	0	0	0	0	0	0	0	0
VWF	0	2	0	1	1	0	2	1	0.8	0.836660026534076
WAC	73	59	56	55	67	55	73	59	62	7.74596669241483
WAC-AS1	140	108	120	98	96	96	140	108	112.4	18.132843130629
WAPAL	40	48	35	25	42	25	48	40	38	8.63133825081603
WARS	598	391	466	409	385	385	598	409	449.8	88.8070943112092
WARS2	23	7	19	22	13	7	23	19	16.8	6.72309452558864
WAS	0	0	0	0	0	0	0	0	0	0
WASF1	8	5	6	4	3	3	8	5	5.2	1.92353840616713
WASF2	177	133	154	127	135	127	177	135	145.2	20.4499388752143
WASF3	16	12	14	18	19	12	19	16	15.8	2.86356421265527
WASH1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
WASH2P	0	0	0	0	0	0	0	0	0	0
WASH3P	0	0	0	0	0	0	0	0	0	0
WASH5P	0	0	0	0	1	0	1	0	0.2	0.447213595499958
WASL	72	41	45	42	33	33	72	42	46.6	14.8761554173113
WBP1	0	0	1	0	1	0	1	0	0.4	0.547722557505166
WBP11	60	47	33	43	37	33	60	43	44	10.4403065089106
WBP11P1	0	0	0	0	0	0	0	0	0	0
WBP1L	60	50	35	50	47	35	60	50	48.4	8.96102672688794
WBP2	13	19	14	11	8	8	19	13	13	4.06201920231798
WBP2NL	0	0	0	0	0	0	0	0	0	0
WBP4	112	82	75	54	56	54	112	75	75.8	23.5414528013884
WBP5	1139	744	750	627	681	627	1139	744	788.2	202.454192349776
WBSCR16	16	12	11	8	9	8	16	11	11.2	3.11448230047949
WBSCR17	0	0	0	0	0	0	0	0	0	0
WBSCR22	69	41	40	47	30	30	69	41	45.4	14.5361618042728
WBSCR27	0	0	0	1	3	0	3	0	0.8	1.30384048104053
WDFY1	35	18	17	19	25	17	35	19	22.8	7.49666592559652
WDFY2	5	3	3	0	3	0	5	3	2.8	1.78885438199983
WDFY3	17	13	16	19	16	13	19	16	16.2	2.16794833886788
WDFY3-AS2	2	4	2	5	1	1	5	2	2.8	1.6431676725155
WDHD1	6	7	7	8	9	6	9	7	7.4	1.14017542509914
WDPCP	10	6	10	7	3	3	10	7	7.2	2.94957624075052
WDR1	122	83	82	76	73	73	122	82	87.2	19.8922095303664
WDR11	38	18	25	35	24	18	38	25	28	8.27647267862342
WDR11-AS1	3	2	7	2	3	2	7	3	3.4	2.07364413533277
WDR12	34	26	30	33	26	26	34	30	29.8	3.76828873628335
WDR13	17	14	16	14	15	14	17	15	15.2	1.30384048104053
WDR16	1	0	0	0	1	0	1	0	0.4	0.547722557505166
WDR17	7	2	8	10	11	2	11	8	7.6	3.50713558335004
WDR18	8	8	6	6	4	4	8	6	6.4	1.67332005306815
WDR19	19	18	11	9	16	9	19	16	14.6	4.39317652729776
WDR20	37	30	28	27	27	27	37	28	29.8	4.20713679359253
WDR24	0	1	2	0	1	0	2	1	0.8	0.836660026534076
WDR25	8	6	2	7	3	2	8	6	5.2	2.58843582110896
WDR26	44	37	28	47	39	28	47	39	39	7.3143694191639
WDR27	1	1	5	2	4	1	5	2	2.6	1.81659021245849
WDR3	46	28	35	16	27	16	46	28	30.4	11.0589330407594
WDR31	5	2	2	7	1	1	7	2	3.4	2.50998007960223
WDR33	78	60	64	45	72	45	78	64	63.8	12.61744823647
WDR34	6	2	11	9	6	2	11	6	6.8	3.42052627529741
WDR35	14	12	19	11	10	10	19	12	13.2	3.56370593624109
WDR36	48	38	41	36	38	36	48	38	40.2	4.7116875957559
WDR37	10	1	6	3	7	1	10	6	5.4	3.50713558335004
WDR38	0	0	0	1	0	0	1	0	0.2	0.447213595499958
WDR4	4	2	1	1	1	1	4	1	1.8	1.30384048104053
WDR41	122	83	104	79	82	79	122	83	94	18.5337529928506
WDR43	54	48	37	34	44	34	54	44	43.4	8.1117199162693
WDR44	15	16	12	9	13	9	16	13	13	2.73861278752583
WDR45	54	32	38	24	32	24	54	32	36	11.2249721603218
WDR45B	50	34	47	68	36	34	68	47	47	13.6014705087354
WDR46	25	16	19	10	16	10	25	16	17.2	5.44977063737548
WDR47	6	8	5	6	2	2	8	6	5.4	2.19089023002066
WDR48	43	51	35	41	44	35	51	43	42.8	5.76194411635517
WDR5	4	2	4	4	3	2	4	4	3.4	0.894427190999916
WDR52	10	8	6	7	4	4	10	7	7	2.23606797749979
