Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
TONSL	29	10	2	2	29	10	13.6666666666667	13.8684293751431
TOP1	223	35	20	20	223	35	92.6666666666667	113.120879298798
TOP1MT	6	1	3	1	6	3	3.33333333333333	2.51661147842358
TOP1P1	0	0	0	0	0	0	0	0
TOP1P2	0	0	0	0	0	0	0	0
TOP2A	1	1	1	1	1	1	1	0
TOP2B	113	35	15	15	113	35	54.3333333333333	51.781592611017
TOP3A	24	7	2	2	24	7	11	11.5325625946708
TOP3B	9	0	4	0	9	4	4.33333333333333	4.50924975282289
TOPBP1	37	10	5	5	37	10	17.3333333333333	17.2143351115671
TOPORS	218	34	13	13	218	34	88.3333333333333	112.784455193672
TOPORS-AS1	390	60	19	19	390	60	156.333333333333	203.396984572863
TOR1A	166	29	17	17	166	29	70.6666666666667	82.7788217682115
TOR1AIP1	263	49	20	20	263	49	110.666666666667	132.719001402713
TOR1AIP2	1011	205	75	75	1011	205	430.333333333333	507.055552512083
TOR1B	74	18	2	2	74	18	31.3333333333333	37.8065250100209
TOR2A	4	0	0	0	4	0	1.33333333333333	2.3094010767585
TOR3A	25	9	3	3	25	9	12.3333333333333	11.3724814061547
TOR4A	30	11	3	3	30	11	14.6666666666667	13.8684293751431
TOX	2	0	0	0	2	0	0.666666666666667	1.15470053837925
TOX2	8	2	1	1	8	2	3.66666666666667	3.78593889720018
TOX4	552	93	53	53	552	93	232.666666666667	277.273030302865
TP53	215	38	20	20	215	38	91	107.763630228385
TP53AIP1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TP53BP1	168	32	13	13	168	32	71	84.5399313933954
TP53BP2	63	25	12	12	63	25	33.3333333333333	26.5015722804013
TP53I11	53	12	4	4	53	12	23	26.2868788561898
TP53I13	24	5	3	3	24	5	10.6666666666667	11.5902257671425
TP53I3	16	4	4	4	16	4	8	6.92820323027551
TP53INP1	112	30	8	8	112	30	50	54.8087584241789
TP53INP2	19	2	2	2	19	2	7.66666666666667	9.81495457622364
TP53RK	53	10	4	4	53	10	22.3333333333333	26.7270150472015
TP53TG1	609	125	43	43	609	125	259	305.869253113156
TP53TG3D	2	0	0	0	2	0	0.666666666666667	1.15470053837925
TP53TG5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TP63	0	0	0	0	0	0	0	0
TP73	2	1	0	0	2	1	1	1
TP73-AS1	46	15	2	2	46	15	21	22.6053091109146
TPBG	152	32	12	12	152	32	65.3333333333333	75.7187779440036
TPBGL	0	0	0	0	0	0	0	0
TPCN1	37	6	3	3	37	6	15.3333333333333	18.8237438713273
TPCN2	7	1	0	0	7	1	2.66666666666667	3.78593889720018
TPD52	10	3	0	0	10	3	4.33333333333333	5.13160143944688
TPD52L1	524	92	35	35	524	92	217	267.392969241901
TPD52L2	246	68	16	16	246	68	110	120.615090266517
TPD52L3	0	0	0	0	0	0	0	0
TPGS1	6	1	0	0	6	1	2.33333333333333	3.21455025366432
TPGS2	269	65	10	10	269	65	114.666666666667	136.456342224659
TPH2	0	0	0	0	0	0	0	0
TPI1	10527	1960	765	765	10527	1960	4417.33333333333	5324.75598814944
TPI1P2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
TPK1	10	5	2	2	10	5	5.66666666666667	4.04145188432738
TPM1	3999	849	355	355	3999	849	1734.33333333333	1976.75120673628
TPM2	2495	446	228	228	2495	446	1056.33333333333	1250.68074796622
TPM3	1320	217	88	88	1320	217	541.666666666667	677.135387742609
TPM3P9	19	4	1	1	19	4	8	9.64365076099295
TPM4	3330	740	330	330	3330	740	1466.66666666667	1626.66325136253
TPMT	295	42	11	11	295	42	116	155.79152736911
TPP1	277	38	18	18	277	38	111	144.107598689313
TPP2	74	12	8	8	74	12	31.3333333333333	37.0045042303411
TPPP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
TPPP3	14	1	1	1	14	1	5.33333333333333	7.50555349946513
TPR	3289	543	260	260	3289	543	1364	1673.09324306806
TPRA1	15	4	3	3	15	4	7.33333333333333	6.65832811847939
TPRG1	3	0	0	0	3	0	1	1.73205080756888
TPRG1L	126	39	11	11	126	39	58.6666666666667	59.9694366601299
TPRKB	659	102	53	53	659	102	271.333333333333	336.621944224279
TPRN	4	1	0	0	4	1	1.66666666666667	2.08166599946613
TPST1	191	29	13	13	191	29	77.6666666666667	98.4750391385215
TPST2	112	8	7	7	112	8	42.3333333333333	60.3351749258534
TPT1	20765	3819	1572	1572	20765	3819	8718.66666666667	10492.7528481964
TPT1-AS1	11	4	1	1	11	4	5.33333333333333	5.13160143944688
TPTE2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TPTE2P1	10	0	0	0	10	0	3.33333333333333	5.77350269189626
TPTE2P3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
TPTE2P5	10	0	1	0	10	1	3.66666666666667	5.5075705472861
TPTE2P6	4	0	1	0	4	1	1.66666666666667	2.08166599946613
TPTEP1	4	0	0	0	4	0	1.33333333333333	2.3094010767585
TPX2	17	0	2	0	17	2	6.33333333333333	9.29157324317757
TRA2A	262	48	23	23	262	48	111	131.365901207277
TRA2B	295	50	17	17	295	50	120.666666666667	151.876045949759
TRABD	4	2	0	0	4	2	2	2
TRABD2A	9	3	4	3	9	4	5.33333333333333	3.21455025366432
TRABD2B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
TRADD	22	2	2	2	22	2	8.66666666666667	11.5470053837925
TRAF1	6	1	1	1	6	1	2.66666666666667	2.88675134594813
TRAF2	6	1	0	0	6	1	2.33333333333333	3.21455025366432
TRAF3	66	5	7	5	66	7	26	34.6554469023269
TRAF3IP1	112	26	10	10	112	26	49.3333333333333	54.8573908724552
TRAF3IP2	250	75	13	13	250	75	112.666666666667	122.907824540724
TRAF3IP2-AS1	61	15	4	4	61	15	26.6666666666667	30.2379452564709
TRAF3IP3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRAF4	19	10	4	4	19	10	11	7.54983443527075
TRAF5	115	28	7	7	115	28	50	57.2625532088816
TRAF6	42	11	5	5	42	11	19.3333333333333	19.8578280114753
TRAF7	5	0	0	0	5	0	1.66666666666667	2.88675134594813
TRAFD1	184	36	10	10	184	36	76.6666666666667	93.8580488468268
TRAIP	11	3	2	2	11	3	5.33333333333333	4.93288286231625
TRAK1	89	17	8	8	89	17	38	44.3959457608462
TRAK2	567	92	48	48	567	92	235.666666666667	287.785220838968
TRAM1	1217	232	85	85	1217	232	511.333333333333	615.529311514353
TRAM1L1	4	4	2	2	4	4	3.33333333333333	1.15470053837925
TRAM2	594	148	69	69	594	148	270.333333333333	283.073017670942
TRAM2-AS1	27	6	2	2	27	6	11.6666666666667	13.4288247189891
TRANK1	36	6	2	2	36	6	14.6666666666667	18.5831464863551
TRAP1	26	8	3	3	26	8	12.3333333333333	12.0968315410827
TRAPPC1	140	31	9	9	140	31	60	70.1498396291823
TRAPPC10	30	10	2	2	30	10	14	14.422205101856
TRAPPC11	54	8	6	6	54	8	22.6666666666667	27.1538824725551
TRAPPC12	33	3	2	2	33	3	12.6666666666667	17.6162803489651
TRAPPC13	179	29	6	6	179	29	71.3333333333333	93.9485674895223
TRAPPC2	244	40	11	11	244	40	98.3333333333333	126.981625967434
TRAPPC2L	1335	213	76	76	1335	213	541.333333333333	690.740423989601
TRAPPC2P1	114	18	6	6	114	18	46	59.194594347795
TRAPPC3	185	39	7	7	185	39	77	94.8894093142117
TRAPPC3L	2	3	0	0	3	2	1.66666666666667	1.52752523165195
TRAPPC4	750	155	49	49	750	155	318	377.858439101206
TRAPPC5	130	29	6	6	130	29	55	65.9621103361619
TRAPPC6A	54	6	6	6	54	6	22	27.712812921102
TRAPPC6B	111	24	10	10	111	24	48.3333333333333	54.7205019470156
TRAPPC8	40	15	4	4	40	15	19.6666666666667	18.4481254693623
TRAPPC9	5	1	1	1	5	1	2.33333333333333	2.3094010767585
TRAT1	0	0	0	0	0	0	0	0
TRDMT1	35	5	4	4	35	5	14.6666666666667	17.6162803489651
TRDN	0	0	0	0	0	0	0	0
TREM1	17	0	1	0	17	1	6	9.53939201416946
TREM2	0	2	0	0	2	0	0.666666666666667	1.15470053837925
TREML2	0	0	0	0	0	0	0	0
TREML3P	0	0	0	0	0	0	0	0
TRERF1	10	1	0	0	10	1	3.66666666666667	5.5075705472861
TREX1	71	17	6	6	71	17	31.3333333333333	34.7898452617044
TREX2	0	0	0	0	0	0	0	0
TRHDE-AS1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
TRIAP1	764	141	47	47	764	141	317.333333333333	389.669518096211
TRIB1	10	1	1	1	10	1	4	5.19615242270663
TRIB2	83	29	7	7	83	29	39.6666666666667	39.1066916694999
TRIB3	71	25	21	21	71	25	39	27.7848879788996
TRIL	3	1	1	1	3	1	1.66666666666667	1.15470053837925
TRIM11	11	4	1	1	11	4	5.33333333333333	5.13160143944688
TRIM13	225	61	13	13	225	61	99.6666666666667	111.163543184505
TRIM14	6	4	0	0	6	4	3.33333333333333	3.05505046330389
TRIM16	61	5	3	3	61	5	23	32.9241552663087
TRIM16L	40	6	4	4	40	6	16.6666666666667	20.2319878739914
TRIM17	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRIM2	135	40	14	14	135	40	63	63.6945837571767
TRIM21	110	21	11	11	110	21	47.3333333333333	54.5007645206316
TRIM22	442	82	24	24	442	82	182.666666666667	226.453821635523
TRIM23	99	13	7	7	99	13	39.6666666666667	51.4716750585536
TRIM24	33	11	5	5	33	11	16.3333333333333	14.742229591664
TRIM25	59	19	11	11	59	19	29.6666666666667	25.7164020293145
TRIM26	33	9	2	2	33	9	14.6666666666667	16.2583311976763
TRIM27	102	27	10	10	102	27	46.3333333333333	48.9523577913601
TRIM28	41	10	0	0	41	10	17	21.3775583264319
TRIM29	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRIM3	3	1	1	1	3	1	1.66666666666667	1.15470053837925
TRIM31	0	0	0	0	0	0	0	0
TRIM32	99	25	6	6	99	25	43.3333333333333	49.1358660586474
TRIM33	55	14	6	6	55	14	25	26.2868788561898
TRIM34	3	1	0	0	3	1	1.33333333333333	1.52752523165195
TRIM35	36	12	4	4	36	12	17.3333333333333	16.6533279957291
TRIM36	0	0	0	0	0	0	0	0
TRIM37	87	14	11	11	87	14	37.3333333333333	43.0387422368885
TRIM38	161	27	11	11	161	27	66.3333333333333	82.3731347790852
TRIM39	19	10	0	0	19	10	9.66666666666667	9.50438495292217
TRIM4	49	8	3	3	49	8	20	25.2388589282479
TRIM41	26	4	2	2	26	4	10.6666666666667	13.3166562369588
TRIM44	359	65	20	20	359	65	148	184.111379333272
TRIM45	26	4	1	1	26	4	10.3333333333333	13.6503968196288
TRIM46	3	0	0	0	3	0	1	1.73205080756888
TRIM47	3	1	0	0	3	1	1.33333333333333	1.52752523165195
TRIM5	100	16	5	5	100	16	40.3333333333333	51.964731629571
TRIM51	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRIM52	22	7	3	3	22	7	10.6666666666667	10.0166528008778
TRIM55	1	1	0	0	1	1	0.666666666666667	0.577350269189626
TRIM56	49	11	5	5	49	11	21.6666666666667	23.8607068908977
TRIM58	77	10	6	6	77	10	31	39.8873413503583
TRIM59	188	36	10	10	188	36	78	96.1457227337753
TRIM6	9	3	0	0	9	3	4	4.58257569495584
TRIM60	19	6	1	1	19	6	8.66666666666667	9.29157324317757
TRIM61	9	0	0	0	9	0	3	5.19615242270663
TRIM62	8	3	0	0	8	3	3.66666666666667	4.04145188432738
TRIM63	0	0	0	0	0	0	0	0
TRIM65	38	10	4	4	38	10	17.3333333333333	18.1475434517549
TRIM66	33	10	4	4	33	10	15.6666666666667	15.3079500042734
TRIM67	0	0	0	0	0	0	0	0
TRIM68	45	10	10	10	45	10	21.6666666666667	20.2072594216369
TRIM69	1	1	0	0	1	1	0.666666666666667	0.577350269189626
TRIM7	12	3	0	0	12	3	5	6.2449979983984
TRIM72	9	2	1	1	9	2	4	4.35889894354067
TRIM8	132	27	12	12	132	27	57	65.3834841531101
TRIM9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRIO	34	7	4	4	34	7	15	16.5227116418583
TRIOBP	110	30	10	10	110	30	50	52.9150262212918
TRIP10	73	8	3	3	73	8	28	39.0512483795333
TRIP11	823	124	56	56	823	124	334.333333333333	424.561342250249
TRIP12	172	56	39	39	172	56	89	72.3809367167903
TRIP13	38	15	0	0	38	15	17.6666666666667	19.1398362932741
TRIP4	87	13	5	5	87	13	35	45.2106182218293
TRIP6	85	17	8	8	85	17	36.6666666666667	42.0990894596704
TRIQK	325	51	30	30	325	51	135.333333333333	164.591413303773
TRIT1	140	30	14	14	140	30	61.3333333333333	68.5954323066291
TRMT1	7	3	0	0	7	3	3.33333333333333	3.51188458428425
TRMT10A	50	9	2	2	50	9	20.3333333333333	25.9293913027925
TRMT10B	68	16	5	5	68	16	29.6666666666667	33.6501609703926
TRMT10C	537	81	39	39	537	81	219	276.195582875614
TRMT11	222	51	16	16	222	51	96.3333333333333	110.228550445578
TRMT112	3627	598	261	261	3627	598	1495.33333333333	1853.75142166725
TRMT12	47	6	4	4	47	6	19	24.2693221990232
TRMT13	82	11	7	7	82	11	33.3333333333333	42.193996413392
TRMT1L	49	13	5	5	49	13	22.3333333333333	23.4378611083293
TRMT2A	8	2	0	0	8	2	3.33333333333333	4.16333199893227
TRMT2B	46	17	6	6	46	17	23	20.6639783197718
TRMT44	13	2	0	0	13	2	5	7
TRMT5	103	20	12	12	103	20	45	50.3884907493765
TRMT6	56	11	4	4	56	11	23.6666666666667	28.2193786843958
TRMT61A	5	3	0	0	5	3	2.66666666666667	2.51661147842358
TRMT61B	28	6	2	2	28	6	12	14
TRMU	30	5	1	1	30	5	12	15.7162336455017
TRNAU1AP	158	23	14	14	158	23	65	80.6659779584925
TRNP1	41	9	4	4	41	9	18	20.0748598998847
TRNT1	216	27	10	10	216	27	84.3333333333333	114.343051093336
TRO	87	14	3	3	87	14	34.6666666666667	45.6544995956952
TROAP	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TROVE2	513	101	27	27	513	101	213.666666666667	261.857467591309
TRPA1	6	2	0	0	6	2	2.66666666666667	3.05505046330389
TRPC1	19	3	1	1	19	3	7.66666666666667	9.86576572463249
TRPC3	0	0	0	0	0	0	0	0
TRPC4	4	0	0	0	4	0	1.33333333333333	2.3094010767585
TRPC4AP	99	32	9	9	99	32	46.6666666666667	46.7582434799826
TRPC5	0	0	0	0	0	0	0	0
TRPC6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRPM1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRPM3	37	3	3	3	37	3	14.3333333333333	19.6299091524473
TRPM4	11	4	1	1	11	4	5.33333333333333	5.13160143944688
TRPM6	20	7	1	1	20	7	9.33333333333333	9.71253485622231
TRPM7	270	61	29	29	270	61	120	130.885446096959
TRPM8	17	4	0	0	17	4	7	8.88819441731559
TRPS1	323	85	39	39	323	85	149	152.43359209833
TRPT1	145	30	4	4	145	30	59.6666666666667	75.0355471315651
TRPV1	173	46	22	22	173	46	80.3333333333333	81.1439050904831
TRPV2	16	8	1	1	16	8	8.33333333333333	7.50555349946513
TRPV3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TRPV4	0	0	0	0	0	0	0	0
TRRAP	25	14	4	4	25	14	14.3333333333333	10.5039675043925
TRUB1	75	15	11	11	75	15	33.6666666666667	35.85154575933
TRUB2	58	7	7	7	58	7	24	29.4448637286709
TSACC	7	1	0	0	7	1	2.66666666666667	3.78593889720018
TSC1	169	39	6	6	169	39	71.3333333333333	86.1761761354803
TSC2	21	10	5	5	21	10	12	8.18535277187245
TSC22D1	387	104	48	48	387	104	179.666666666667	181.725984199655
TSC22D1-AS1	8	4	2	2	8	4	4.66666666666667	3.05505046330389
TSC22D2	52	10	2	2	52	10	21.3333333333333	26.8576494379782
TSC22D3	97	26	9	9	97	26	44	46.6797600679352
TSC22D4	3	0	2	0	3	2	1.66666666666667	1.52752523165195
TSEN15	161	35	11	11	161	35	69	80.5729483139347
TSEN2	47	1	5	1	47	5	17.6666666666667	25.4820198048219
TSEN34	101	27	5	5	101	27	44.3333333333333	50.2924779001128
TSEN54	7	2	1	1	7	2	3.33333333333333	3.21455025366432
TSFM	290	61	10	10	290	61	120.333333333333	149.131932641314
TSG1	0	0	0	0	0	0	0	0
TSG101	396	60	25	25	396	60	160.333333333333	204.842215701094
TSGA10	3	0	0	0	3	0	1	1.73205080756888
TSHR	0	0	0	0	0	0	0	0
TSHZ1	14	3	0	0	14	3	5.66666666666667	7.37111479583199
TSHZ2	8	4	1	1	8	4	4.33333333333333	3.51188458428425
TSHZ3	69	23	5	5	69	23	32.3333333333333	33.0050501186308
TSIX	74	27	8	8	74	27	36.3333333333333	33.9754813554324
TSKS	2	1	0	0	2	1	1	1
TSKU	81	20	8	8	81	20	36.3333333333333	39.1450294843845
TSLP	70	13	6	6	70	13	29.6666666666667	35.1046055857822
TSN	807	136	48	48	807	136	330.333333333333	415.14375020387
TSNARE1	0	0	0	0	0	0	0	0
TSNAX	581	79	32	32	581	79	230.666666666667	304.306314974457
TSNAX-DISC1	0	0	0	0	0	0	0	0
TSNAXIP1	3	1	0	0	3	1	1.33333333333333	1.52752523165195
TSPAN1	3	0	0	0	3	0	1	1.73205080756888
TSPAN10	0	0	0	0	0	0	0	0
TSPAN11	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TSPAN12	3	1	0	0	3	1	1.33333333333333	1.52752523165195
TSPAN13	16	4	3	3	16	4	7.66666666666667	7.23417813807023
TSPAN14	58	10	1	1	58	10	23	30.6431068920891
TSPAN15	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TSPAN16	0	0	0	0	0	0	0	0
TSPAN17	10	0	2	0	10	2	4	5.29150262212918
TSPAN18	0	0	0	0	0	0	0	0
TSPAN19	0	0	0	0	0	0	0	0
TSPAN2	94	20	7	7	94	20	40.3333333333333	46.9290244234134
TSPAN3	440	101	29	29	440	101	190	219.478928373546
TSPAN31	136	32	10	10	136	32	59.3333333333333	67.3003219407852
TSPAN32	0	0	0	0	0	0	0	0
TSPAN33	0	0	0	0	0	0	0	0
TSPAN4	120	21	1	1	120	21	47.3333333333333	63.7207449213624
TSPAN5	59	17	6	6	59	17	27.3333333333333	27.9702222610642
TSPAN6	665	90	33	33	665	90	262.666666666667	349.594527035727
TSPAN7	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TSPAN8	33	8	1	1	33	8	14	16.8226038412607
TSPAN9	17	6	1	1	17	6	8	8.18535277187245
TSPO	1071	168	61	61	1071	168	433.333333333333	554.820992152724
TSPY26P	0	0	0	0	0	0	0	0
TSPYL1	536	101	49	49	536	101	228.666666666667	267.425379000074
TSPYL2	19	9	1	1	19	9	9.66666666666667	9.01849950564579
TSPYL4	101	15	4	4	101	15	40	53.113086899558
TSPYL5	21	6	2	2	21	6	9.66666666666667	10.0166528008778
TSPYL6	0	0	1	0	1	0	0.333333333333333	0.577350269189626
TSR1	108	31	10	10	108	31	49.6666666666667	51.597803570824
TSR2	116	17	8	8	116	17	47	59.9249530663145
TSR3	54	14	7	7	54	14	25	25.3574446662119
TSSC1	61	15	2	2	61	15	26	31
TSSC4	36	7	4	4	36	7	15.6666666666667	17.6729548557488
TSSK3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
TSSK4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
TSSK6	0	0	0	0	0	0	0	0
TST	46	11	7	7	46	11	21.3333333333333	21.4553800556721
TSTA3	113	19	5	5	113	19	45.6666666666667	58.7310253046321
TSTD1	138	26	10	10	138	26	58	69.7423830966508
TSTD2	92	18	10	10	92	18	40	45.2106182218293
TSTD3	168	29	5	5	168	29	67.3333333333333	88.0018939190137
TTBK2	21	7	4	4	21	7	10.6666666666667	9.07377172587747
TTC1	1278	226	74	74	1278	226	526	655.670649030441
TTC12	10	3	1	1	10	3	4.66666666666667	4.72581562625261
TTC13	30	11	1	1	30	11	14	14.7309198626562
TTC14	175	32	17	17	175	32	74.6666666666667	87.2142954642949
TTC17	154	25	13	13	154	25	64	78.1728853247723
TTC18	11	4	0	0	11	4	5	5.56776436283002
TTC19	40	18	7	7	40	18	21.6666666666667	16.8027775481714
TTC21A	5	0	0	0	5	0	1.66666666666667	2.88675134594813
TTC21B	70	16	4	4	70	16	30	35.1567916624939
TTC23	42	7	5	5	42	7	18	20.8086520466848
TTC23L	2	0	1	0	2	1	1	1
TTC25	8	0	1	0	8	1	3	4.35889894354067
TTC26	42	10	1	1	42	10	17.6666666666667	21.548395145192
TTC27	135	25	10	10	135	25	56.6666666666667	68.2519840981442
TTC28	69	17	9	9	69	17	31.6666666666667	32.5781112609883
TTC28-AS1	17	3	1	1	17	3	7	8.71779788708135
TTC29	0	0	0	0	0	0	0	0
TTC3	1357	373	145	145	1357	373	625	644.099371215343
TTC30A	28	3	0	0	28	3	10.3333333333333	15.3731367434669
TTC30B	9	1	1	1	9	1	3.66666666666667	4.61880215351701
TTC31	32	8	1	1	32	8	13.6666666666667	16.2583311976763
TTC32	16	3	2	2	16	3	7	7.81024967590665
TTC33	118	22	9	9	118	22	49.6666666666667	59.5343038368077
TTC37	806	130	53	53	806	130	329.666666666667	414.309465657416
TTC38	19	3	1	1	19	3	7.66666666666667	9.86576572463249
TTC39A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
TTC39B	31	13	3	3	31	13	15.6666666666667	14.1891977691952
TTC39C	76	11	4	4	76	11	30.3333333333333	39.7030645332742
TTC3P1	13	4	0	0	13	4	5.66666666666667	6.65832811847939
TTC4	16	3	3	3	16	3	7.33333333333333	7.50555349946513
TTC40	0	0	0	0	0	0	0	0
TTC5	156	33	10	10	156	33	66.3333333333333	78.5005307837682
TTC7A	12	5	1	1	12	5	6	5.56776436283002
TTC7B	18	3	1	1	18	3	7.33333333333333	9.29157324317757
TTC8	219	41	16	16	219	41	92	110.693269894786
TTC9	0	0	0	0	0	0	0	0
TTC9C	281	40	11	11	281	40	110.666666666667	148.223929691981
TTF1	203	25	14	14	203	25	80.6666666666667	106.0864427405
TTF2	72	13	4	4	72	13	29.6666666666667	36.9368831025756
TTI1	18	7	1	1	18	7	8.66666666666667	8.62167810425171
TTI2	117	16	5	5	117	16	46	61.7332973362026
TTK	7	0	0	0	7	0	2.33333333333333	4.04145188432738
TTL	94	24	5	5	94	24	41	46.8721665810319
TTLL1	42	8	3	3	42	8	17.6666666666667	21.221058723196
TTLL10	0	0	0	0	0	0	0	0
TTLL11	2	0	0	0	2	0	0.666666666666667	1.15470053837925
TTLL12	5	1	1	1	5	1	2.33333333333333	2.3094010767585
TTLL13	0	0	0	0	0	0	0	0
TTLL3	13	5	1	1	13	5	6.33333333333333	6.11010092660779
TTLL4	2	1	3	1	3	2	2	1
TTLL5	20	4	0	0	20	4	8	10.5830052442584
TTLL7	76	19	11	11	76	19	35.3333333333333	35.4447927534262
TTN	49	19	5	5	49	19	24.3333333333333	22.4796204001165
TTN-AS1	13	4	1	1	13	4	6	6.2449979983984
TTPA	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TTPAL	118	17	12	12	118	17	49	59.8080262172227
TTR	0	0	0	0	0	0	0	0
TTTY10	0	1	0	0	1	0	0.333333333333333	0.577350269189626
TTTY14	16	2	2	2	16	2	6.66666666666667	8.08290376865476
TTTY15	172	27	5	5	172	27	68	90.7358804442873
TTYH1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TTYH2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
TTYH3	46	4	2	2	46	4	17.3333333333333	24.8461935381123
TUB	23	9	1	1	23	9	11	11.13552872566
TUBA1A	3740	686	245	245	3740	686	1557	1903.34889077121
TUBA1B	6617	1159	380	380	6617	1159	2718.66666666667	3398.44998982379
TUBA1C	844	168	59	59	844	168	357	425.261096269104
TUBA3D	0	0	0	0	0	0	0	0
TUBA3FP	26	7	1	1	26	7	11.3333333333333	13.0511813003013
TUBA4A	658	129	50	50	658	129	279	330.591893427531
TUBA8	2	0	0	0	2	0	0.666666666666667	1.15470053837925
TUBB	9626	1716	675	675	9626	1716	4005.66666666667	4895.10268874243
TUBB1	6	0	0	0	6	0	2	3.46410161513775
TUBB2A	72	16	0	0	72	16	29.3333333333333	37.8065250100209
TUBB2B	0	0	0	0	0	0	0	0
TUBB3	14	1	0	0	14	1	5	7.81024967590665
TUBB4B	208	47	14	14	208	47	89.6666666666667	103.799486190122
TUBB6	489	119	44	44	489	119	217.333333333333	238.240074994392
TUBD1	111	22	4	4	111	22	45.6666666666667	57.2916515151495
TUBE1	89	11	5	5	89	11	35	46.8614980554399
TUBG1	225	42	19	19	225	42	95.3333333333333	112.881944230835
TUBG2	16	5	4	4	16	5	8.33333333333333	6.65832811847939
TUBGCP2	209	42	17	17	209	42	89.3333333333333	104.385503463524
TUBGCP3	17	6	2	2	17	6	8.33333333333333	7.76745346515403
TUBGCP4	58	6	6	6	58	6	23.3333333333333	30.0222139978605
TUBGCP5	54	10	3	3	54	10	22.3333333333333	27.6465790529919
TUBGCP6	4	0	2	0	4	2	2	2
TUFM	152	34	15	15	152	34	67	74.222638056054
TUFT1	44	13	3	3	44	13	20	21.3775583264319
TUG1	183	48	27	27	183	48	86	84.6581360531875
TULP1	0	0	0	0	0	0	0	0
TULP2	0	0	0	0	0	0	0	0
TULP3	243	45	25	25	243	45	104.333333333333	120.504495075218
TULP4	264	57	19	19	264	57	113.333333333333	131.857246040304
TUSC1	22	2	0	0	22	2	8	12.1655250605964
TUSC2	106	26	3	3	106	26	45	54.0647759636531
TUSC3	130	25	9	9	130	25	54.6666666666667	65.7292426042879
TUSC5	0	0	0	0	0	0	0	0
TUT1	19	2	0	0	19	2	7	10.4403065089106
TVP23A	11	2	1	1	11	2	4.66666666666667	5.5075705472861
TVP23B	87	8	3	3	87	8	32.6666666666667	47.1204131277871
TVP23C	74	14	5	5	74	14	31	37.5099986670221
TVP23C-CDRT4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
TWF1	533	124	40	40	533	124	232.333333333333	263.75051342762
TWF2	25	8	3	3	25	8	12	11.5325625946708
TWIST1	86	13	2	2	86	13	33.6666666666667	45.6544995956952
TWIST2	25	14	2	2	25	14	13.6666666666667	11.5036226178249
TWISTNB	230	43	13	13	230	43	95.3333333333333	117.585429936423
TWSG1	152	44	19	19	152	44	71.6666666666667	70.6847461149386
TXLNA	191	33	13	13	191	33	79	97.5089739459912
TXLNB	2	0	0	0	2	0	0.666666666666667	1.15470053837925
TXLNG	92	15	7	7	92	15	38	46.9361268108053
TXLNG2P	55	9	4	4	55	9	22.6666666666667	28.1128677536343
TXN	10848	1649	648	648	10848	1649	4381.66666666667	5622.33050730152
TXN2	1208	194	73	73	1208	194	491.666666666667	623.305970878936
TXNDC11	25	5	2	2	25	5	10.6666666666667	12.5033328890074
TXNDC12	788	135	45	45	788	135	322.666666666667	405.495170542552
TXNDC15	231	46	18	18	231	46	98.3333333333333	115.742530356535
TXNDC16	34	7	3	3	34	7	14.6666666666667	16.8621864932557
TXNDC17	2323	351	136	136	2323	351	936.666666666667	1205.40297549547
TXNDC2	0	0	0	0	0	0	0	0
TXNDC9	884	136	54	54	884	136	358	457.370746768964
TXNIP	706	172	73	73	706	172	317	340.501101319805
TXNL1	325	52	21	21	325	52	132.666666666667	167.285185636186
TXNL4A	311	54	17	17	311	54	127.333333333333	160.132237020949
TXNL4B	72	19	6	6	72	19	32.3333333333333	34.9618840072061
TXNRD1	2275	456	192	192	2275	456	974.333333333333	1134.11830658593
TXNRD2	6	3	0	0	6	3	3	3
